id,age,income,age of account,num purchases,amount per purchase
0610b486422d4921ae7d2bf64640c50b,55,112,12,3,25.67
78afa995795e4d85b5d9ceeca43f5fef,75,100,14,7,22.752857142857145
aa4862eba776480b8bb9c68455b8c2e1,61,57,10,6,14.258333333333333
31dda685af34476cad5bc968bdb01c53,62,71,29,8,20.03125
a448667f336b42c9a66fc5ffd5d73772,61,40,2,7,2.968571428571429
440cf1fd7580490c971d8c651ed962af,40,71,26,16,18.7925
c27e0d6ab72c455a8bb66d980963de60,78,71,13,8,19.432499999999997
d058f73bf8674a26a95227db098147b1,56,88,2,3,25.206666666666667
c6c9884912c645429f3333f912b55f44,33,52,9,9,1.9888888888888887
7429a044884842d6862f516c38b1156f,46,59,10,1,2.88
868317b9be554cb18e50bc68484749a2,96,89,8,4,20.48
102e9454054946fda62242d2e176fdce,69,57,23,14,15.249285714285715
9f30b375d7bd4c62a884ffe7034e09ee,26,63,11,21,3.4942857142857147
02c083884c7d45b39cc68e1314fec56c,20,30,24,10,2.989
8e7c7465e98c43d8a01f51e2b5c29542,69,37,58,12,2.7266666666666666
57dd18ec5ddc46828afb81ec5977bef2,54,80,17,9,27.711111111111112
3f89b8f80ebc4f94b7074f28071aa8d4,41,41,34,18,3.4727777777777775
a3b9b4bf115e4564933ea2e4bc936843,79,48,39,15,10.133333333333333
7584948ea6d04f94b8798624706261c2,66,38,3,5,11.216
e9844d5beac04bf8b8d3ad18f7e37fca,56,52,12,7,12.444285714285712
f247806381704ea58c1b06f60602a6ae,39,56,48,13,11.556153846153848
fe8264108d5b4f198453bbb1fa7ca6c9,78,93,21,8,28.193749999999998
ab66a363907e43e9a7cd535f1578245b,76,47,4,6,3.775
8c7df0c393db488aac3e58b06a7ea5f9,53,72,24,9,18.653333333333332
3a1242dda16248728e350c4bdeb21972,53,117,18,10,30.320000000000004
8045834137dc47faa24f2c4547969f33,53,55,8,8,2.5225
fb98ebe9e3e14afaa5b5db182b00b7ec,61,112,8,2,33.625
5cd6577aca5d4b419e452f9f505ffce7,67,77,22,8,19.466250000000002
99e9a1916821461ebd5d5048dc2dff7d,58,85,5,15,19.36133333333333
e528ceb341964128aaf58a59733ec2af,46,36,0,5,3.4260000000000006
a2b7a0b3487a4d779ddf4e11a034e2ee,73,91,3,4,27.290000000000003
2c5c63e5124e417b8504f76c868a4190,74,107,31,10,29.830000000000002
816afd4505d047cf893275fbfe825590,54,53,18,18,3.1683333333333334
68eee228713c429ebe1300155ad1fb33,49,57,15,10,18.478
4264b1d027cc493281bba4f44bfedaca,89,87,8,9,27.62555555555555
b5abc1e85be84f43937b4fca0ad238cb,50,93,14,12,24.77416666666667
1c587de019994f93a242c6864fd7bc55,90,98,31,3,26.676666666666666
3f4e408b0b2d4ea89dd16d7437d867c1,68,84,23,2,17.02
1abeb816d9fa49b4b5b5ae51bc3d24c3,19,73,21,11,18.431818181818183
92e07c49ee7448fca6e48df0c96e3eec,66,58,5,10,16.353
f8aedd0cbea0419c806842b4265b82e5,72,72,23,12,16.826666666666668
6d28f18e91324d358d69d1e4b01f1ace,39,60,10,12,58.791666666666664
52f0bd64403f4958ab8fe9a6947c13c3,45,44,29,16,10.231874999999999
93e67942586e43fb87d5ffb1ead8db41,57,114,12,8,23.1025
15953663abf54181adf1fd4c39442b85,59,98,10,4,28.01
1a353048b0884fc5a0afa27677ef1e80,51,56,11,7,5.848571428571428
2cf5895bddf9467e878c6d51a622d5fb,64,37,9,7,7.33857142857143
f35b342b24734da18a830bb9329a4fbd,64,66,15,4,12.587499999999999
17af917bb842480e925e49a8ca08c1f8,29,58,4,12,2.5399999999999996
3dae0eadb47149b0b9b548d14548524b,89,65,6,7,17.83142857142857
5404741ead9442bdbd4b9aa2273e85af,49,79,2,2,12.465
b2f1cd155b864803ad8334cdf13c4bd2,55,94,9,8,24.418750000000003
23f9e3baf42b43148fee9bbbc3530c7a,69,87,9,2,26.605
49f22e86d2db41878778d70958dc744e,75,87,0,5,22.940000000000005
28de174a5c854dd1be3187dc6edae45b,59,85,34,7,27.58571428571429
fe97aa22dd3e48c8b143116a8403dd52,39,67,7,11,51.16090909090908
721eb06ac285463aa6e1184e0ea9b7f0,18,49,14,10,3.0469999999999997
d594b1f288674594a02c8527e5837ade,32,42,0,7,10.17
30fae86966114f6e83c3043b22b6b7c4,60,77,4,5,21.381999999999998
fd700397b7c8440baa70d5539926c5a0,62,77,7,2,16.73
4293153650e04742b310ac06cd3810e9,55,51,0,2,12.95
3ecb372184104ff7bad0f0f60cb56e29,51,85,16,8,22.5
8a37057f57c4495fb98dfcc8b909b09f,53,85,26,8,22.13625
92214286965d4eb1ad14dc8b0b04a20f,27,50,34,8,11.222500000000002
c84fe4915ef74c7f9e81b003d3ecf54c,74,83,7,1,25.69
348bdc19d65f49b8b98f72c59e64cd89,50,69,8,10,18.496000000000002
791ffe6d3dc848d2b233129a8096f7ab,57,89,27,9,25.186666666666667
a9ecb39d93d74696a9d6ddd5355329ff,58,54,4,6,3.5833333333333335
0d18c37c8b58459f8aa6af2f7b541357,67,54,1,7,2.4828571428571427
87efa556dd48400cb4231a273e088bcf,71,105,7,9,23.585555555555555
4e4c47b460b1414c8ddd459b61f84b9e,69,64,7,9,16.276666666666667
2d40e25b82b94b37bbad2332e90a1034,52,92,11,1,23.59
018b8f83176d471db63d9733c741fc8a,75,109,2,2,18.52
ae40f2f496e84ed29e7638b0bccee9a4,54,99,33,7,23.311428571428568
5b9c1a35c0144b6ab584e666dec7c531,34,67,3,7,2.722857142857143
73c157a4b8e342fcb5d8479d8cb41e81,58,95,18,11,29.184545454545457
e737ff591120415581ddbe817b8c82ca,47,74,30,14,18.192142857142855
